NomArc;Mode;Node_Source;Node_Destination;Altitude_Node_Source;Altitude_Node_Dest;Diff_altitude
aiguille-rouge;TPH;5;12;2670;3226;-556
aiguille-rouge1;N;4;5;3226;2458;768
aiguille-rouge2;N;3;4;2458;2135;323
aiguille-rouge3;N;2;3;2135;1425;710
aiguille-rouge4;N;1;2;1425;1200;225
arandeliere;R;12;5;3226;2670;556
arpette;TS;15;31;2050;2418;-368
belvedere1;B;19;18;2314;2285;29
belvedere2;B;31;19;2285;2050;235
belvedere3;B;35;31;2050;1830;220
bois-de-l'ours;TS;15;10;2015;2418;-403
bosses;TK;26;16;2296;2600;-304
cachette;R;30;21;2160;1613;547
cachette;TSD;21;30;1613;2160;-547
carreley;R;36;31;2050;1715;335
carreley;TS;31;36;1715;2050;-335
cascade;B;8;10;2015;1822;193
chantel;B;36;34;1920;1715;205
chantel;TS;34;36;1715;1920;-205
clair-blanc;R;31;15;2418;2050;368
clair-blanc;TS;22;31;2050;2230;-180
clapet;B;21;17;2375;2160;215
clocheret;R;31;17;2375;2050;325
clocheret;TS;17;31;2050;2375;-325
col-de-la-chal;B;14;26;2600;2446;154
col-des-frettes;R;24;23;2384;2280;104
col-des-frettes;TS;23;31;2050;2384;-334
col-du-renard;B;32;26;2600;2454;146
combes;N;6;4;2458;2158;300
combettes;TS;28;30;1613;1750;-137
comborciere;N;8;18;2314;1822;492
comborciere;TS;18;8;1822;2314;-492
dent-du-peigne;B;25;32;2454;2294;160
deux-tetes;N;20;19;2285;2063;222
deux-tetes;TK;19;20;2063;2285;-222
dou-de-l-homme;N;11;12;2670;2195;475
droset;N;8;4;2458;1822;636
fond-blanc;B;31;22;2230;2050;180
fond-blanc;N;22;15;2418;2230;188
frettes;TK;24;31;2050;2280;-230
froide-fontaine;R;31;27;2275;2050;225
genepy;N;6;5;3226;2158;1068
gollet;B;30;31;2050;1613;437
gollet;TS;31;30;1613;2050;-437
grand-col;R;14;13;2835;2446;389
grand-col;TS;13;14;2446;2835;-389
grand-renard;R;33;32;2454;2150;304
grand-renard;TS;32;33;2150;2454;-304
lac-combes;TK;6;7;2120;2158;-38
lanches;N;9;12;2670;2120;550
lanchettes;TS;4;7;2120;2458;-338
malgovert;R;20;18;2314;2063;251
marmotte;TK;11;10;2015;2195;-180
marmottes;B;10;11;2195;2015;180
mont-blanc;B;30;20;2063;1613;450
mont-blanc;TS;20;30;1613;2063;-450
muguet;N;8;17;2375;1822;553
navette1600-1800;BUS;36;30;1613;1715;-102
navette1600-2000;BUS;7;30;1613;2120;-507
navette1800-1600;BUS;30;36;1715;1613;102
navette2000-1600;BUS;30;7;2120;1613;507
ours;N;10;15;2418;2015;403
plagnettes;TSD;26;11;2195;2600;-405
plan;B;11;23;2384;2195;189
plan-des-eaux;B;16;26;2600;2296;304
plan-vert;B;25;26;2600;2294;306
plan-vert;TK;26;25;2294;2600;-306
plan-violettes;TS;3;2;1425;2135;-710
pre-saint-esprit;TS;11;8;1822;2195;-373
refuge;N;14;13;2835;2446;389
replat;TS;2;1;1200;1425;-225
reservoir;R;6;4;2458;2158;300
rhonaz;B;8;3;2135;1822;313
saint-jacques;B;9;11;2195;2120;75
saint-jacques;TS;11;9;2120;2195;-75
snowpark;SURF;31;24;2280;2050;230
soliet1;R;3;4;2458;2135;323
soliet2;R;2;3;2135;1425;710
soliet3;R;1;2;1425;1200;225
tetras;R;35;27;2275;1830;445
tommelet;TK;29;30;1613;1850;-237
transarc1;TC;37;36;1715;2100;-385
transarc2;TC;26;37;2100;2600;-500
tuffes;R;16;26;2600;2296;304
vagere;TK;27;35;1830;2275;-445
vallee-de-l-arc;R;10;11;2195;2015;180
vallee-de-l-arc1;B;16;14;2446;2296;150
vallee-de-l-arc2;B;11;16;2296;2195;101
varet;TC;12;9;2120;2670;-550
vezaille;TK;29;28;1750;1850;-100
villards;B;36;37;2100;1715;385
villards;TSD;33;36;1715;2150;-435
villaroger1;B;2;8;1822;1425;397
villaroger2;B;1;2;1425;1200;225
vitesse;KL;6;12;2670;2158;512
