NomArc;Mode;Node_Destination;Node_Source;Diff_altitude
aiguille-rouge;TPH;5;12;-556
aiguille-rouge1;N;4;5;768
aiguille-rouge2;N;3;4;323
aiguille-rouge3;N;2;3;710
aiguille-rouge4;N;1;2;225
arandeliere;R;12;5;556
arpette;TS;15;31;-368
belvedere1;B;19;18;29
belvedere2;B;31;19;235
belvedere3;B;35;31;220
bois-de-l'ours;TS;15;10;-403
bosses;TK;26;16;-304
cachette;R;30;21;547
cachette;TSD;21;30;-547
carreley;R;36;31;335
carreley;TS;31;36;-335
cascade;B;8;10;193
chantel;B;36;34;205
chantel;TS;34;36;-205
clair-blanc;R;31;15;368
clair-blanc;TS;22;31;-180
clapet;B;21;17;215
clocheret;R;31;17;325
clocheret;TS;17;31;-325
col-de-la-chal;B;14;26;154
col-des-frettes;R;24;23;104
col-des-frettes;TS;23;31;-334
col-du-renard;B;32;26;146
combes;N;6;4;300
combettes;TS;28;30;-137
comborciere;N;8;18;492
comborciere;TS;18;8;-492
dent-du-peigne;B;25;32;160
deux-tetes;N;20;19;222
deux-tetes;TK;19;20;-222
dou-de-l-homme;N;11;12;475
droset;N;8;4;636
fond-blanc;B;31;22;180
fond-blanc;N;22;15;188
frettes;TK;24;31;-230
froide-fontaine;R;31;27;225
genepy;N;6;5;1068
gollet;B;30;31;437
gollet;TS;31;30;-437
grand-col;R;14;13;389
grand-col;TS;13;14;-389
grand-renard;R;33;32;304
grand-renard;TS;32;33;-304
lac-combes;TK;6;7;-38
lanches;N;9;12;550
lanchettes;TS;4;7;-338
malgovert;R;20;18;251
marmotte;TK;11;10;-180
marmottes;B;10;11;180
mont-blanc;B;30;20;450
mont-blanc;TS;20;30;-450
muguet;N;8;17;553
navette1600-1800;BUS;36;30;-102
navette1600-2000;BUS;7;30;-507
navette1800-1600;BUS;30;36;102
navette2000-1600;BUS;30;7;507
ours;N;10;15;403
plagnettes;TSD;26;11;-405
plan;B;11;23;189
plan-des-eaux;B;16;26;304
plan-vert;B;25;26;306
plan-vert;TK;26;25;-306
plan-violettes;TS;3;2;-710
pre-saint-esprit;TS;11;8;-373
refuge;N;14;13;389
replat;TS;2;1;-225
reservoir;R;6;4;300
rhonaz;B;8;3;313
saint-jacques;B;9;11;75
saint-jacques;TS;11;9;-75
snowpark;SURF;31;24;230
soliet1;R;3;4;323
soliet2;R;2;3;710
soliet3;R;1;2;225
tetras;R;35;27;445
tommelet;TK;29;30;-237
transarc1;TC;37;36;-385
transarc2;TC;26;37;-500
tuffes;R;16;26;304
vagere;TK;27;35;-445
vallee-de-l-arc;R;10;11;180
vallee-de-l-arc1;B;16;14;150
vallee-de-l-arc2;B;11;16;101
varet;TC;12;9;-550
vezaille;TK;29;28;-100
villards;B;36;37;385
villards;TSD;33;36;-435
villaroger1;B;2;8;397
villaroger2;B;1;2;225
vitesse;KL;6;12;512
