NomArc;Mode;Node_Destination;Node_Source;Diff_altitude;;;;
retour lay;R;1;2;;;;Point zappé ;Fusionné avec
retour gorge;R;2;3;;;;21;16
gorge;TC;4;3;;;;20;12
montjoie;TC;4;1;;;;31;32
under montjoie;R;2;4;;;;44;43
signal;TC;7;4;;;;46;41
village;B;4;5;;;;;
variante;B;5;19;;;;;
little-variante;B;19;6;;;;;
montjoie1;B;4;5;;;;;
montjoie2;B;5;6;;;;;
jonction;TS;7;16;;;;;
buche-croisee;TS;11;10;;;;;
roselette;TS;12;8;;;;;
roselette-bis;TS;12;16;;;;;
jonction-bis;TS;16;32;;;;;
grevettaz;TS;32;51;;;;;
joux;N;18;19;;;;;
tierces;TS;41;31;;;;;
nant-rouge;TS;48;23;;;;;
monument;TS;45;43;;;;;
veleray;TS;36;35;;;;;
aiguille;TS;47;41;;;;;
montjoie-bis;TS;6;18;;;;;
foyères;TS;17;18;;;;;
under-signal;B;6;7;;;;;
jonction1;B;6;23;;;;;
boulevard;B;7;15;;;;;
gentianes;R;8;7;;;;;
signal1;V;7;52;;;;;
signal-bis;TK;52;7;;;;;
fredze-suite;R;9;8;;;;;
tobogan;N;8;14;;;;;
fredze;R;8;12;;;;;
little-combe;B;13;8;;;;;
tobogan;R;13;11;;;;;
buche;R;9;13;;;;;
gentaines-fin;R;10;9;;;;;
combe;B;13;11;;;;;
buche-croisee1;B;14;11;;;;;
aiguille-roselette1;B;11;12;;;;;
aiguille-roselette2;B;12;11;;;;;
goto-tobogan1;B;14;12;;;;;
goto-tobogan2;N;14;12;;;;;
left-boulevard;B;15;12;;;;;
right-boulevard;B;22;12;;;;;
little-boulevard;B;15;22;;;;;
olympique-begin;N;37;12;;;;;
olympique;N;23;37;;;;;
little-bretelle;R;37;22;;;;;
cross-jonction;R;16;23;;;;;
before-grevettaz;B;32;23;;;;;
bretelle;R;30;37;;;;;
col2;R;23;24;;;;;
besoens4;R;24;30;;;;;
chamois;R;26;25;;;;;
besoens3;R;30;26;;;;;
pierres-blanches;TS;25;24;;;;;
besoens2;R;26;29;;;;;
besoens1;R;29;28;;;;;
col1;R;27;28;;;;;
bartavelle2;R;27;29;;;;;
little-col;R;26;27;;;;;
nant-rouge2;R;24;43;;;;;
monument;B;43;45;;;;;
nant-rouge2;R;43;48;;;;;
little-blue;B;50;41;;;;;
right-fourchette;R;49;50;;;;;
left-fourchette;R;49;50;;;;;
tierces1;R;42;49;;;;;
tierces2;R;32;42;;;;;
coins;B;32;50;;;;;
rhonos;R;33;32;;;;;
under-grevettaz1;R;33;32;;;;;
under-grevettaz2;R;34;33;;;;;
under-grevettaz3;R;51;34;;;;;
liaison1;N;40;42;;;;;
grevettaz1;N;39;41;;;;;
liaison3;N;38;39;;;;;
grevettaz2;N;40;39;;;;;
liaison2;N;40;38;;;;;
rebans1;N;38;36;;;;;
liaison4;N;35;38;;;;;
rebans2;N;51;35;;;;;
aiguille1;R;41;47;;;;;
croche;N;41;47;;;;;
